Date,Open,High,Low,Close,Volume,Currency,name
2021-08-06,1806.8,1806.8,1762.0,1765.1,3611,USD,Gold
2021-08-09,1766.0,1766.4,1680.0,1728.6,3688,USD,Gold
2021-08-10,1734.0,1740.4,1720.7,1733.7,3716,USD,Gold
2021-08-11,1732.3,1757.8,1728.0,1755.4,3171,USD,Gold
2021-08-12,1754.6,1760.5,1745.3,1753.8,2627,USD,Gold
2021-08-13,1759.8,1783.5,1758.5,1780.3,965,USD,Gold
2021-08-16,1782.4,1793.0,1775.2,1791.9,677,USD,Gold
2021-08-17,1791.0,1799.0,1785.0,1789.8,1724,USD,Gold
2021-08-18,1790.4,1797.5,1784.1,1786.4,1231,USD,Gold
2021-08-19,1791.5,1796.3,1776.6,1785.1,2502,USD,Gold
2021-08-20,1784.2,1792.3,1782.0,1786.0,701,USD,Gold
2021-08-23,1783.8,1810.3,1780.2,1808.3,1257,USD,Gold
2021-08-24,1809.5,1814.0,1805.3,1810.5,586,USD,Gold
2021-08-25,1805.9,1805.9,1787.0,1793.0,444,USD,Gold
2021-08-26,1795.2,1802.1,1783.4,1797.2,971,USD,Gold
2021-08-27,1796.7,1823.7,1788.7,1821.5,879,USD,Gold
2021-08-30,1822.9,1828.0,1812.6,1814.2,410,USD,Gold
2021-08-31,1814.4,1821.8,1806.6,1820.1,787,USD,Gold
2021-09-01,1818.6,1824.3,1813.8,1818.0,2594,USD,Gold
2021-09-02,1818.4,1821.0,1809.5,1813.4,2285,USD,Gold
2021-09-03,1813.5,1838.7,1813.5,1835.7,3621,USD,Gold
2021-09-05,1832.2,1832.5,1829.65,1830.05,0,USD,Gold
2021-09-06,1829.95,1830.65,1823.65,1825.65,0,USD,Gold
2021-09-07,1834.0,1834.0,1796.0,1800.6,3447,USD,Gold
2021-09-08,1798.9,1805.5,1785.6,1795.7,2032,USD,Gold
2021-09-09,1793.6,1804.8,1787.8,1802.1,5864,USD,Gold
2021-09-10,1797.9,1807.7,1790.4,1794.2,2886,USD,Gold
2021-09-13,1791.3,1802.1,1786.8,1796.5,3755,USD,Gold
2021-09-14,1796.4,1812.7,1783.0,1809.2,1750,USD,Gold
2021-09-15,1808.3,1809.6,1794.1,1796.9,930,USD,Gold
2021-09-16,1798.1,1798.6,1747.5,1758.7,1680,USD,Gold
2021-09-17,1756.8,1769.1,1750.0,1753.4,2608,USD,Gold
2021-09-20,1755.6,1770.0,1745.6,1765.9,3384,USD,Gold
2021-09-21,1767.8,1784.6,1761.3,1780.3,2216,USD,Gold
2021-09-22,1777.1,1789.7,1767.2,1781.0,2849,USD,Gold
2021-09-23,1771.4,1778.6,1740.0,1751.8,2143,USD,Gold
2021-09-24,1746.0,1759.9,1743.0,1753.8,1772,USD,Gold
2021-09-27,1754.2,1762.6,1748.0,1754.0,1815,USD,Gold
2021-09-28,1752.8,1755.6,1729.9,1739.5,2576,USD,Gold
2021-09-29,1736.0,1747.6,1723.7,1724.9,2050,USD,Gold
2021-09-30,1728.1,1766.3,1724.5,1758.5,15873,USD,Gold
2021-10-01,1759.1,1766.4,1751.6,1760.1,5811,USD,Gold
2021-10-04,1762.4,1772.6,1749.7,1769.4,2666,USD,Gold
2021-10-05,1772.9,1772.9,1751.1,1762.8,4826,USD,Gold
2021-10-06,1762.4,1767.4,1747.9,1763.7,3609,USD,Gold
2021-10-07,1765.7,1769.3,1754.5,1761.1,5365,USD,Gold
2021-10-08,1756.4,1783.2,1755.6,1759.4,7539,USD,Gold
2021-10-11,1760.3,1762.3,1752.1,1757.7,4270,USD,Gold
2021-10-12,1755.7,1771.7,1753.8,1761.2,4822,USD,Gold
2021-10-13,1761.9,1798.4,1760.0,1796.7,5668,USD,Gold
2021-10-14,1795.7,1803.6,1789.9,1799.8,4074,USD,Gold
2021-10-15,1799.4,1799.4,1767.0,1770.2,3799,USD,Gold
